Date,State,Confirmed
2020-04-11,Goa,7
2020-04-11,Gujarat,308
2020-04-11,Haryana,177
2020-04-11,Himachal Pradesh,28
2020-04-11,Jammu and Kashmir,207
2020-04-11,Jharkhand,17
2020-04-11,Karnataka,214
2020-04-11,Kerala,364
2020-04-11,Ladakh,15
2020-04-11,Madhya Pradesh,443
2020-04-11,Maharashtra,1574
2020-04-11,Manipur,2
2020-04-11,Mizoram,1
2020-04-11,Odisha,48
2020-04-11,Puducherry,7
2020-04-11,Punjab,132
2020-04-11,Rajasthan,553
2020-04-11,Tamil Nadu,911
2020-04-11,Telengana,504
2020-04-11,Tripura,2
2020-04-11,Uttar Pradesh,433
2020-04-11,Uttarakhand,35
2020-04-11,West Bengal,126
2020-04-12,Andaman and Nicobar Islands,11
2020-04-12,Andhra Pradesh,381
2020-04-12,Arunachal Pradesh,1
2020-04-12,Assam,29
2020-04-12,Bihar,64
2020-04-12,Chandigarh,19
2020-04-12,Chhattisgarh,25
2020-04-12,Delhi,1069
2020-04-12,Goa,7
2020-04-12,Gujarat,432
2020-04-12,Haryana,185
2020-04-12,Himachal Pradesh,32
